Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   ND17   ND18   ND19   ND20   Egz    
Oktavijus           Paulauskas          6      7      6      4      3      8      4      10     10     10     6      10     7      3      5      5      1      10     5      5      5      
Astijus             Paulauskas          8      1      2      10     1      10     10     2      3      5      3      8      7      4      2      7      9      4      5      1      3      
Bonifacas           Kateiva             4      3      10     10     7      9      4      3      5      4      3      5      9      10     5      7      6      9      4      5      4      
Santaras            Butkus              8      6      5      10     6      10     7      10     6      6      3      7      2      3      1      10     2      1      1      2      5      
Hermanas            Kazlaukas           6      7      10     6      1      8      6      7      5      4      7      10     8      3      10     5      3      5      7      7      2      
Steponas            Sakalauskas         6      1      2      4      5      1      7      2      9      7      6      8      7      7      5      4      10     2      7      6      4      
Ulrikas             Vasiliauskas        6      2      3      10     5      7      10     7      7      4      5      5      7      1      10     5      5      1      2      1      1      
Mefodijus           Vasiliauskas        6      8      8      6      1      6      1      9      4      7      10     9      4      10     3      6      10     8      7      3      8      
Aras                Urbonas             8      3      7      4      7      9      3      7      9      4      9      7      8      1      4      9      1      9      5      5      6      
Brunonas            Urbonas             5      5      5      3      3      1      6      5      3      4      5      9      7      8      3      10     3      4      10     7      1      
Vladislavas         Kazlaukas           4      2      2      10     9      10     6      1      4      1      5      1      9      4      4      5      9      8      2      7      2      
Kristupas           Kateiva             5      10     7      1      2      7      1      9      4      4      6      2      9      3      1      6      6      9      8      5      9      
Marcelijus          Sakalauskas         1      5      6      1      6      3      2      4      8      6      8      10     10     2      1      7      6      7      4      6      10     
ceslovas            Paulauskas          1      4      8      2      1      6      4      8      6      4      9      6      9      3      7      5      1      4      10     10     7      
Dovilis             Kavaliauskas        4      4      6      2      4      10     5      10     7      7      6      9      1      4      3      1      2      2      10     8      5      
Kestutis            Kazlaukas           3      7      2      3      4      2      6      1      1      5      7      1      9      5      5      1      3      8      10     7      8      
Ambraziejus         Petrauskas          8      6      2      9      3      7      2      5      9      10     10     8      1      1      6      4      8      3      5      1      9      
Zygfridas           Kavaliauskas        6      10     8      5      8      1      9      1      9      6      9      4      5      4      6      8      7      2      6      3      8      
Adamas              Urbonas             6      3      10     7      5      3      9      6      6      8      8      2      2      1      8      2      3      1      10     1      7      
Mildas              Urbonas             1      5      10     7      8      1      10     10     5      9      10     6      5      1      2      10     1      3      2      7      9      
Nauris              Sakalauskas         3      6      4      8      4      6      8      8      3      3      8      1      7      7      1      1      8      10     10     2      6      
Milanas             Urbonas             9      6      8      2      6      1      5      2      5      2      10     9      6      9      2      4      6      8      5      4      1      
Silverijus          Butkus              10     2      6      9      4      8      6      6      1      10     6      3      3      7      6      5      5      2      3      1      7      
Svajunas            Kavaliauskas        3      3      1      2      1      5      4      2      1      1      5      4      2      3      4      9      7      7      6      6      4      
Marcelijus          Jankauskas          6      2      2      8      7      5      4      5      3      8      10     6      8      4      7      9      5      5      7      2      1      
Benjaminas          Urbonas             5      1      7      10     7      2      10     1      2      1      7      5      9      6      1      10     9      6      5      4      4      
Raimondas           Petrauskas          2      6      2      4      1      10     9      2      1      4      2      6      10     7      4      6      1      4      4      1      4      
Stanislovas         Butkus              1      5      10     1      6      3      4      7      6      2      6      7      3      1      6      1      8      5      9      9      9      
Gustas              Kazlaukas           7      3      4      7      10     5      6      7      1      10     5      7      5      8      7      2      7      9      1      7      10     
Leonidas            Urbonas             3      4      4      3      1      3      7      6      9      5      2      8      10     5      9      5      2      8      10     6      4      
Valdemaras          Baranauskas         7      8      10     4      5      10     7      2      1      4      8      8      6      4      3      9      7      1      6      8      5      
Sebastijonas        Sakalauskas         8      5      7      2      9      7      9      8      2      7      5      4      4      4      4      5      4      2      5      6      5      
Serafinas           Pocius              10     3      3      4      2      7      3      1      4      6      4      6      2      10     8      7      4      2      9      4      8      
Moze                Urbonas             7      9      10     1      10     6      1      10     8      6      10     6      4      1      4      9      2      4      2      6      5      
Julijonas           Petrauskas          4      10     6      9      6      3      9      6      9      2      6      6      6      10     9      3      4      2      8      4      3      
Foma                Paulauskas          4      4      2      2      2      2      9      2      5      8      1      4      6      5      8      6      2      1      3      3      4      
zvaigzdzius         Jankauskas          7      9      10     6      2      5      2      9      3      2      3      1      5      1      7      6      10     8      3      2      8      
Liucijonas          Urbonas             7      6      6      5      6      6      10     8      10     3      7      10     3      4      6      1      4      6      4      5      7      
Armantas            Petrauskas          4      7      8      8      3      4      6      9      9      4      10     6      4      6      4      2      9      10     2      2      5      
Adomas              Pocius              6      1      5      5      9      5      4      9      1      9      6      10     7      6      2      8      10     3      6      1      5      
Armantas            Butkus              7      1      2      9      10     1      3      9      10     6      9      9      8      2      9      2      9      3      6      9      4      
Haraldas            Paulauskas          3      1      5      5      1      9      6      6      6      7      8      8      5      10     2      1      7      9      9      1      9      
Redas               Jankauskas          3      3      1      6      9      1      5      10     5      8      9      1      9      6      1      5      3      7      9      8      5      
Germanas            Paulauskas          8      4      3      8      9      3      2      10     9      10     3      1      3      2      4      4      3      6      6      8      7      
Liudvikas           Kazlaukas           5      1      10     5      3      4      4      2      8      1      4      10     2      4      3      7      4      10     2      5      1      
Laimonas            Butkus              7      3      2      8      9      10     2      5      2      7      2      10     2      5      1      3      8      2      10     4      10     
Vilnius             Kazlaukas           10     10     7      10     8      3      2      3      1      6      9      4      2      10     2      6      8      3      3      4      4      
Liucijus            Urbonas             2      9      6      7      5      1      1      6      6      5      3      2      4      5      6      10     4      8      3      9      1      
Liucijus            zukauskas           3      8      9      2      2      8      5      4      9      4      4      6      2      6      5      6      6      6      8      9      4      
Dimitrijus          Petrauskas          5      7      5      10     9      8      6      5      4      1      2      9      2      9      10     9      9      9      1      6      7      
Gasparas            Kazlaukas           2      5      6      9      4      5      10     7      10     3      2      8      6      4      4      7      7      7      9      10     4      
Nikita              Stankevicius        7      10     8      2      1      9      8      7      2      5      3      8      2      9      9      8      3      9      8      9      9      
Modestas            Butkus              3      4      10     7      10     7      2      1      3      4      4      9      3      5      2      1      3      1      4      7      7      
Joanas              Paulauskas          5      7      6      3      8      1      5      7      1      2      2      9      6      10     9      10     10     5      2      2      3      
Nikiforas           Urbonas             2      2      5      3      9      7      7      6      8      6      7      9      1      6      10     7      10     7      9      6      10     
Arsenas             Urbonas             2      10     3      5      1      6      6      1      6      8      9      7      10     5      4      9      7      2      6      4      3      
Vilmantas           Kateiva             10     10     10     9      9      3      5      1      9      3      4      9      10     6      7      6      6      2      4      8      7      
Izidorius           Sakalauskas         10     9      2      2      9      4      9      7      8      8      2      1      4      10     5      6      8      7      6      2      3      
Anzelmas            Baranauskas         6      2      8      2      8      8      3      2      4      1      2      9      7      8      3      1      9      9      1      3      5      
Skirgaila           Vasiliauskas        3      1      9      8      10     7      2      3      4      6      9      8      9      5      10     6      10     4      6      4      6      
Liucijonas          Vasiliauskas        8      10     3      4      8      5      9      4      6      8      8      8      9      6      7      8      5      7      5      8      3      
Irenijus            Vasiliauskas        6      2      4      5      2      9      6      8      8      8      9      3      4      9      3      4      4      4      5      3      9      
Robertas            Pocius              9      10     6      9      7      9      3      10     8      10     5      6      7      9      10     8      4      9      7      6      6      
Krescencijus        Vasiliauskas        8      5      6      1      9      1      3      4      1      8      10     1      9      3      6      8      6      1      10     5      2      
Vacius              Sakalauskas         8      7      2      8      7      5      6      7      9      4      7      1      7      10     10     1      5      10     8      6      1      
Bogdanas            Pocius              5      7      7      8      8      6      2      8      1      8      2      8      8      2      5      9      8      9      3      3      8      
Jakovas             Stankevicius        2      1      8      6      5      8      4      7      3      9      6      3      8      5      8      7      2      7      2      5      10     
Jokubas             Butkus              8      5      8      5      9      10     3      3      2      6      7      7      3      9      5      1      5      10     2      2      2      
Kastantas           Stankevicius        1      8      1      9      8      10     10     3      2      9      4      6      1      9      1      7      8      10     3      7      8      
Ingvaras            Jankauskas          1      8      6      7      10     6      6      8      3      5      3      2      10     9      7      6      6      1      10     8      9      
Gaudvydas           Jankauskas          9      5      10     10     9      8      5      1      6      4      6      4      8      4      1      4      1      6      8      8      4      
Jovaldas            Kateiva             5      4      1      4      1      5      4      8      6      2      10     9      6      6      1      4      2      10     9      10     7      
Renaldas            Pocius              7      1      3      4      5      10     4      1      7      3      8      10     7      5      2      3      1      1      9      6      7      
Antonis             Stankevicius        9      4      1      4      7      6      3      7      8      5      3      6      3      5      10     8      10     3      3      10     2      
Vaidas              Paulauskas          3      1      2      7      1      4      3      6      7      4      8      3      1      10     1      1      1      1      7      5      6      
Baltramiejus        Urbonas             5      9      9      3      1      2      2      6      6      5      10     4      3      1      8      6      6      1      1      5      3      
Teisius             Jankauskas          5      2      4      10     7      5      5      8      8      4      7      3      7      6      5      7      1      1      9      10     8      
Semionas            Baranauskas         4      7      4      7      2      2      2      1      8      9      10     10     1      3      8      4      6      2      10     8      10     
Virgaudas           Urbonas             5      4      6      3      9      3      6      3      9      3      10     4      5      7      4      8      7      8      4      8      3      
Rodrigas            Sakalauskas         10     1      5      10     6      3      2      5      3      8      2      9      1      8      2      6      8      1      1      2      7      
Kiprijonas          Kateiva             4      5      4      3      4      9      8      8      1      8      7      7      1      1      4      3      1      10     10     6      9      
Aleksandras         Butkus              2      1      1      8      8      2      10     10     8      7      4      3      7      1      6      8      9      3      4      5      3      
Lauris              Sakalauskas         2      3      3      8      4      10     2      4      4      6      5      1      4      1      8      2      10     10     9      6      7      
Vladimiras          Pocius              9      5      2      6      10     10     5      2      2      5      3      10     1      5      6      9      9      10     3      8      2      
Domantas            Sakalauskas         1      2      8      5      2      2      3      1      5      5      10     3      9      10     2      3      3      8      7      1      8      
Mateusas            Baranauskas         2      6      5      6      2      8      8      4      8      8      7      3      4      3      7      7      9      6      8      10     1      
Maksas              Stankevicius        4      10     8      2      6      5      4      9      2      1      3      9      9      9      10     3      4      8      9      10     10     
Voicechas           zukauskas           3      4      8      9      4      5      2      9      1      6      5      4      3      4      7      10     10     4      2      5      5      
Neringas            Kateiva             8      3      5      5      1      10     4      4      2      7      8      2      2      10     9      4      10     4      5      7      3      
Tautrimas           Urbonas             7      10     4      4      5      2      10     2      4      7      7      3      6      4      1      8      7      6      5      4      9      
Girius              Stankevicius        2      1      10     5      10     3      6      9      5      7      3      1      8      7      9      7      6      7      1      7      5      
Eugeniusas          Baranauskas         2      4      10     3      5      9      8      8      3      9      5      6      7      7      7      2      3      10     8      2      8      
Daivis              Kavaliauskas        7      5      1      9      2      6      7      9      5      8      3      9      4      10     7      7      6      6      7      10     8      
Arkadijus           Stankevicius        1      9      7      6      5      9      3      8      1      1      10     4      1      1      2      7      7      10     10     3      6      
Germantas           Stankevicius        4      9      3      8      8      3      9      1      9      10     5      7      2      8      3      9      9      9      8      9      5      
Osvaldas            Stankevicius        3      4      7      5      3      3      8      2      5      10     3      5      5      4      10     1      2      5      7      8      7      
Lukrecijus          Urbonas             6      6      10     2      3      7      5      2      5      3      7      1      6      1      8      3      7      1      4      4      9      
Saliamonas          Pocius              6      6      2      1      10     9      3      9      3      2      10     5      10     5      7      5      1      10     4      2      10     
Julius              Kavaliauskas        2      6      5      1      5      6      3      7      1      3      9      2      2      5      9      6      1      1      1      6      7      
Arnoldas            Stankevicius        10     5      10     3      3      9      6      5      4      1      10     6      2      8      10     10     6      1      2      5      4      
Ricardas            Baranauskas         9      4      10     1      7      2      9      7      9      1      4      9      1      4      2      9      2      8      7      9      8      
Timotis             Butkus              9      4      2      10     8      7      9      4      10     1      3      1      1      10     4      1      7      5      7      3      8      
Samuilas            Petrauskas          4      6      1      1      5      5      2      7      8      1      4      3      6      1      7      8      6      5      10     4      7      
Martinas            Stankevicius        10     3      4      3      7      3      2      3      3      3      2      6      2      2      2      2      4      4      5      10     8      
Julijus             Urbonas             8      10     3      4      10     1      5      9      1      8      1      3      1      6      8      10     4      7      1      8      6      
Robertas            Jankauskas          6      9      7      7      9      5      1      8      4      2      10     9      5      2      10     5      1      4      3      3      9      
Enrikas             Butkus              3      7      8      2      3      1      7      2      10     5      3      4      7      4      5      4      7      3      10     6      2      
Bartvydas           zukauskas           1      6      1      3      8      2      4      1      4      7      8      5      6      4      7      5      5      8      9      7      3      
Marcelinas          Paulauskas          1      9      7      10     2      2      4      1      7      7      9      9      10     5      8      4      8      6      7      3      9      
Gasparas            Urbonas             4      9      6      6      2      4      5      4      3      9      10     6      2      1      9      4      4      9      2      8      8      
Adolfas             Vasiliauskas        7      6      3      3      5      6      9      10     9      8      9      1      7      8      9      8      4      3      10     10     1      
Alpis               Butkus              2      9      2      5      1      7      4      10     1      4      2      1      3      1      1      7      1      9      10     7      3      
Narcizas            Kazlaukas           4      1      10     1      9      9      5      4      9      2      6      9      10     4      6      10     8      9      3      6      10     
Modestas            Kazlaukas           5      9      8      3      1      5      10     5      3      3      4      1      8      8      1      6      2      7      9      4      7      
Nedas               Butkus              7      3      6      7      5      1      2      5      9      3      8      3      3      2      10     8      4      6      2      4      1      
Rytas               Baranauskas         6      8      7      2      10     4      4      6      2      7      3      7      10     3      7      10     4      9      9      1      3      
Janusas             Kavaliauskas        10     4      8      3      8      1      8      4      5      10     8      8      10     3      7      4      1      6      6      5      10     
Tamosius            Pocius              4      10     6      5      3      4      4      4      7      8      1      8      5      9      9      6      7      9      8      7      10     
Emanuelis           Urbonas             10     7      1      5      6      6      10     1      3      7      6      2      10     1      4      4      2      7      7      9      8      
Martas              Stankevicius        1      1      10     9      4      4      5      7      7      7      4      7      8      4      2      10     1      10     1      3      2      
Petras              Stankevicius        10     4      8      6      10     9      1      10     1      2      2      3      7      10     5      4      7      2      9      5      6      
Aristidas           Sakalauskas         10     7      1      8      3      10     8      7      2      7      4      8      7      8      3      7      6      10     10     5      7      
Haris               Kazlaukas           4      2      8      10     8      1      2      6      6      6      4      3      4      6      5      4      6      6      5      3      8      
Dziraldas           Jankauskas          5      3      6      7      2      2      9      8      4      4      2      10     4      8      6      9      5      2      7      4      9      
Rimas               zukauskas           4      3      5      9      8      9      9      5      7      7      10     9      6      7      7      2      3      6      2      6      1      
Juras               Paulauskas          7      5      1      3      10     10     8      10     10     1      9      1      5      10     3      8      5      1      7      7      10     
Rimtautas           zukauskas           8      1      9      1      5      1      4      5      7      10     2      10     9      4      2      9      3      9      5      6      8      
Dzonis              Kateiva             1      4      5      7      6      7      10     1      1      10     4      4      10     4      9      8      1      5      10     2      5      
Nedas               Kavaliauskas        5      9      2      10     1      6      8      4      1      1      5      4      7      9      1      2      10     9      2      7      6      
Juozas              Paulauskas          10     9      7      6      6      6      7      1      7      7      9      5      8      8      3      6      4      10     1      6      5      
Laurentijus         Paulauskas          7      6      5      5      4      2      8      4      10     3      4      5      9      2      1      10     6      6      6      2      1      
Algirdas            Baranauskas         1      8      1      7      1      5      1      1      9      9      1      2      10     6      3      10     3      1      5      2      8      
Danas               zukauskas           4      2      2      7      7      3      9      7      6      7      4      7      4      4      4      6      1      10     10     10     8      
Arsenas             Stankevicius        1      7      3      2      4      2      1      7      3      4      9      8      6      5      1      1      2      1      3      8      9      
Flavijus            Kavaliauskas        1      9      6      4      5      5      5      8      3      6      4      6      9      2      8      4      9      8      5      4      10     
cesius              Kateiva             4      4      4      5      5      7      9      3      8      9      7      5      6      3      10     2      6      8      3      10     2      
Augustinas          Jankauskas          5      5      5      8      2      5      4      8      5      1      6      9      2      1      5      4      6      6      10     10     2      
Minijus             Paulauskas          1      7      2      5      6      5      3      4      5      6      2      8      9      1      8      2      7      3      6      4      7      
Nerius              Kavaliauskas        1      5      7      10     2      2      8      4      6      3      1      9      5      4      6      10     4      6      6      7      9      
Marijus             Stankevicius        1      4      1      5      8      6      5      6      3      5      1      7      8      1      4      8      5      2      7      3      6      
Dominykas           Paulauskas          1      5      4      3      1      10     3      10     2      3      1      3      6      8      10     2      1      5      8      4      3      
Gracijus            Sakalauskas         3      3      6      5      3      1      9      7      5      4      4      4      7      1      9      10     9      4      7      5      7      
Geraldas            Sakalauskas         9      8      7      3      7      2      10     8      3      6      8      8      2      10     10     1      4      1      3      8      8      
Adrijus             Kavaliauskas        1      6      2      9      5      10     5      2      4      9      8      1      6      7      7      10     6      7      6      7      1      
Klemas              Kavaliauskas        2      3      7      8      4      9      3      6      10     9      3      7      4      4      3      10     9      4      9      6      9      
Achilas             Paulauskas          2      2      3      8      4      8      3      1      9      1      10     10     6      4      5      9      8      1      8      2      3      
Albertas            Butkus              7      9      8      1      5      2      8      8      5      2      7      6      6      1      8      2      4      1      5      4      7      
Liucijus            Kateiva             6      8      9      2      1      3      6      3      3      2      1      6      1      8      3      3      7      6      6      5      9      
Gintaras            Butkus              6      8      7      2      10     4      5      5      7      6      3      6      6      10     4      10     4      5      1      5      4      
Egidijus            Kazlaukas           7      5      1      3      5      7      7      8      2      2      2      10     10     1      2      7      6      2      3      2      10     
Valteris            zukauskas           5      7      1      5      2      4      9      9      2      5      7      5      1      4      8      9      9      8      2      8      4      
Juozapatas          Kateiva             6      8      8      7      10     8      1      4      1      10     10     9      1      9      6      4      8      6      10     8      8      
Anicetas            Kateiva             7      6      4      9      4      4      6      6      7      7      10     9      1      2      3      4      3      2      3      1      3      
Tauras              Kateiva             6      7      3      10     6      7      3      2      10     9      6      10     4      8      3      3      8      2      3      6      10     
Geivydas            Kazlaukas           3      3      1      1      6      2      3      8      8      6      5      6      10     4      8      9      7      5      7      6      10     
Deividas            Baranauskas         2      7      1      3      6      9      8      6      3      2      8      7      4      3      7      4      4      3      10     4      1      
Zigmantas           Jankauskas          3      7      4      10     4      8      7      7      6      4      7      7      7      3      8      6      6      7      5      5      7      
Vakaris             Baranauskas         3      1      6      9      9      6      10     8      4      4      3      5      3      1      5      9      4      1      8      3      7      
Francisekas         Kateiva             2      10     3      8      3      5      9      9      3      5      3      5      7      6      2      1      1      6      6      4      6      
Germanas            Urbonas             10     6      5      5      3      9      8      2      2      2      4      4      10     3      6      3      4      1      8      4      4      
Isakas              Stankevicius        6      9      1      8      5      5      3      5      1      1      10     2      5      8      10     5      9      1      4      1      5      
Imantas             zukauskas           3      4      5      3      10     9      1      1      10     8      5      6      7      8      5      9      8      5      3      8      2      
Georgijus           Sakalauskas         3      9      4      10     1      5      2      9      8      1      10     4      5      2      5      8      7      5      5      6      3      
Eligijus            Urbonas             9      6      3      6      2      2      1      9      2      8      6      3      2      10     6      10     3      3      10     7      5      
Mikolajus           Jankauskas          9      3      3      9      9      4      10     10     2      6      5      5      9      1      3      3      6      4      2      3      7      
Ingvaras            Jankauskas          6      8      3      7      8      2      8      7      6      4      3      6      5      7      2      5      10     10     3      4      6      
Andreas             Baranauskas         3      6      4      6      5      10     4      2      9      10     7      7      10     8      10     8      6      10     1      2      9      
Piotras             Butkus              5      10     8      7      1      1      6      7      8      8      7      8      2      5      5      4      3      2      3      1      10     
Mecislavas          Butkus              5      5      6      1      10     9      4      4      9      9      6      8      8      6      2      10     5      4      7      10     5      
Ingvaras            zukauskas           9      7      6      1      5      10     10     9      5      2      3      5      9      5      1      5      1      4      7      9      5      
Vygirdas            Kavaliauskas        9      10     5      7      2      1      8      10     7      8      9      9      3      10     10     2      3      8      6      3      8      
Kristijonas         Kateiva             8      4      10     3      10     10     8      2      8      7      4      9      1      6      4      3      1      7      9      5      7      
Sebastijonas        Vasiliauskas        9      1      8      6      5      1      5      6      8      4      6      3      7      8      5      1      4      10     10     3      2      
Ronaldas            Kazlaukas           9      10     4      3      3      3      10     3      5      6      9      4      3      5      3      3      7      1      8      10     2      
Dobilas             Kavaliauskas        8      1      3      8      10     2      9      10     8      7      8      6      1      8      4      10     3      4      3      8      6      
Antanas             Kazlaukas           4      6      6      2      1      5      2      2      7      10     7      10     10     1      3      4      10     4      9      9      10     
Polikarpas          Paulauskas          4      10     4      4      9      8      4      8      9      2      5      2      10     3      7      2      8      9      10     4      3      
Kalnius             Vasiliauskas        3      8      5      9      1      7      2      3      9      4      7      3      3      1      1      4      10     8      1      2      5      
Napalys             Kavaliauskas        7      6      6      1      4      10     4      1      6      4      6      7      2      8      9      2      2      10     6      8      4      
Jevgenijus          Baranauskas         8      10     1      1      10     9      6      6      7      1      8      3      6      6      10     6      5      8      2      4      7      
Dziugas             zukauskas           6      10     10     7      9      2      6      9      6      7      10     5      3      1      4      6      6      9      7      1      2      
Valdis              Stankevicius        9      4      6      8      1      6      6      6      6      7      7      7      2      5      4      9      8      9      10     3      9      
Sigizmundas         Kavaliauskas        8      9      5      5      9      5      3      4      2      1      2      4      5      1      2      1      7      1      9      10     6      
Mecys               Butkus              9      2      4      4      2      3      9      6      8      7      5      1      10     6      1      3      10     10     9      10     8      
Vydas               Kateiva             2      8      4      10     1      8      4      8      9      6      5      9      3      5      8      8      3      5      4      3      5      
Polis               zukauskas           10     5      4      6      9      9      1      1      7      10     8      6      2      6      7      10     2      3      10     10     3      
Nortautas           Vasiliauskas        1      2      1      8      7      7      5      2      7      4      3      4      7      9      5      8      6      10     10     6      6      
Marius              Kateiva             3      1      9      5      5      5      1      9      5      2      8      5      5      7      2      1      10     9      6      7      2      
Hilarijus           Sakalauskas         5      10     10     6      2      10     9      9      3      8      6      5      5      1      1      4      9      10     8      9      3      
Mingaudas           Baranauskas         7      7      9      7      8      6      7      4      10     5      3      2      6      9      7      8      3      2      8      1      7      
Gustis              Kavaliauskas        4      6      7      6      8      5      3      3      3      7      6      4      8      6      9      9      10     10     6      4      1      
Klimas              Stankevicius        10     10     2      3      10     4      9      8      9      5      9      3      10     2      1      2      3      6      9      2      10     
Kristinas           Pocius              10     6      9      10     5      5      9      6      6      6      1      9      10     3      5      3      7      4      4      7      5      
Tarasas             Kavaliauskas        6      8      6      6      2      1      10     3      5      8      2      1      7      5      8      2      3      5      6      5      3      
Zacharijus          Paulauskas          1      9      7      8      10     10     5      4      5      4      9      7      8      9      8      5      10     3      5      8      1      
Napoleonas          Butkus              9      1      9      10     8      8      6      9      6      7      4      6      4      10     6      7      2      3      4      7      5      
Reginaldas          Vasiliauskas        8      10     6      1      4      9      3      1      2      10     4      10     9      4      6      7      5      3      2      2      7      
Dzonis              Baranauskas         6      4      3      5      9      1      6      9      6      1      4      6      7      10     1      8      2      3      2      9      1      
Skaistis            Urbonas             10     2      1      4      6      2      4      3      4      6      4      10     10     5      7      5      5      3      2      1      2      
Zacharijus          Pocius              2      5      3      3      4      9      7      2      4      8      4      8      4      10     7      8      2      6      1      10     6      
Edvardas            Petrauskas          10     2      8      6      2      7      3      7      9      10     5      10     2      4      4      1      4      1      7      3      4      
Renius              Jankauskas          6      2      1      3      5      6      8      3      9      5      7      6      8      5      6      3      2      1      4      7      8      
Tadeusas            Kavaliauskas        6      7      6      10     9      2      10     1      6      5      2      3      9      10     7      8      8      10     4      9      8      
Liucijus            Vasiliauskas        9      7      2      2      2      5      1      9      2      3      9      2      4      2      5      5      1      3      1      5      6      
Lionginas           zukauskas           7      9      10     1      5      7      10     6      1      2      9      3      6      6      2      4      3      3      10     8      1      
Lukrecijus          Jankauskas          1      7      7      1      2      9      9      6      7      5      10     6      3      6      1      2      5      10     3      2      5      
Vaidotas            Paulauskas          8      10     9      2      8      9      5      2      4      3      1      4      10     5      4      3      7      4      9      8      5      
Marijonas           Vasiliauskas        6      9      10     1      9      3      4      4      2      1      7      7      2      9      7      9      2      5      4      5      8      
Daumantas           Kavaliauskas        8      3      8      5      5      7      2      2      10     3      2      7      8      1      4      7      9      9      10     2      4      
Nidas               Sakalauskas         9      8      10     4      7      8      4      8      4      10     6      7      1      7      2      3      9      1      3      7      9      
Naglis              Baranauskas         6      3      7      9      7      2      6      9      3      4      1      6      7      6      10     8      6      7      7      10     6      
Gedvilas            Stankevicius        6      3      1      10     7      2      5      9      9      5      7      6      3      5      4      1      6      3      2      4      3      
Juozas              Stankevicius        4      8      2      4      8      3      2      8      2      2      5      1      10     5      2      4      9      2      7      6      9      
Jezis               Butkus              3      10     5      2      3      9      4      7      3      7      9      10     10     10     5      2      10     3      5      5      2      
Rapolas             Kavaliauskas        1      4      1      8      7      3      3      4      1      9      9      9      8      4      7      6      9      2      7      9      6      
Anatolijus          Pocius              8      5      6      4      5      4      2      10     3      7      2      10     5      5      4      3      9      1      9      6      2      
zeimantas           Vasiliauskas        8      8      8      6      6      6      4      8      6      5      1      3      5      10     10     2      4      8      8      4      3      
Marcelinas          Sakalauskas         6      2      6      8      2      2      9      6      2      6      9      5      1      9      3      10     4      8      10     7      1      
Kuprijanas          Kazlaukas           4      9      8      10     7      3      8      4      8      5      9      4      1      9      8      10     10     10     2      3      9      
Balys               Sakalauskas         8      9      9      7      5      6      7      2      4      10     2      5      4      2      5      5      3      7      1      6      6      
Edvardas            Urbonas             8      3      4      5      8      3      8      5      3      3      7      8      4      5      2      3      8      2      9      3      2      
Robertas            Sakalauskas         8      1      3      2      5      1      3      10     3      6      5      6      8      2      2      4      6      7      7      5      9      
Feliksas            Paulauskas          6      5      8      5      8      1      7      8      7      8      10     8      5      5      4      10     8      10     10     2      6      
Skirmantas          Kavaliauskas        1      2      9      8      5      10     9      10     9      6      9      2      8      2      1      8      4      7      1      3      10     
Nerijus             Pocius              6      3      5      5      8      10     8      6      6      3      8      6      9      9      1      1      1      1      10     1      10     
Aidas               Stankevicius        8      4      1      6      2      6      4      8      3      10     9      10     7      10     3      5      8      4      3      8      1      
Juozapatas          Jankauskas          8      6      5      3      3      7      2      10     10     5      6      7      1      1      9      7      7      10     6      9      7      
Janis               Sakalauskas         8      9      2      1      4      9      3      2      2      10     8      1      4      5      1      7      3      3      1      4      4      
Tadas               Baranauskas         8      3      8      1      10     4      4      4      5      4      2      2      6      1      2      1      4      2      9      6      4      
Dmitrijus           Jankauskas          2      6      10     8      5      8      7      8      5      2      4      9      7      2      4      10     6      3      10     5      6      
Vainius             Kateiva             6      1      1      6      7      10     2      6      1      7      5      3      3      7      10     9      3      2      2      5      5      
Rafalas             Jankauskas          3      5      2      4      5      9      4      5      7      3      4      4      6      10     1      7      6      8      9      1      2      
Otas                Urbonas             5      10     8      4      4      4      1      3      7      10     4      8      10     10     1      7      9      1      7      1      4      
Gedgaudas           Butkus              7      10     3      9      2      5      10     8      6      8      2      7      6      9      1      6      9      6      10     5      8      
Liubomiras          Kazlaukas           5      3      1      5      8      3      5      7      4      10     2      7      4      8      7      10     9      6      4      4      10     
Edvardas            zukauskas           8      4      4      6      5      2      10     8      6      7      1      3      5      3      1      4      10     3      1      8      6      
Isakas              Vasiliauskas        2      2      6      9      9      4      9      5      2      4      8      1      9      3      2      2      3      6      2      6      5      
Antonis             Stankevicius        1      1      7      1      7      8      5      6      5      7      1      4      3      10     4      3      1      3      5      8      1      
Apolonijus          Pocius              1      7      5      6      7      1      4      9      3      10     3      1      2      3      3      7      5      10     8      4      3      
Tomas               Sakalauskas         1      5      1      2      4      9      5      3      1      2      5      10     10     7      5      4      1      3      1      5      1      
