Vardas              Pavarde             Vid.                Med.                
Miroslavas          Baranauskas         3.38                4                   
Miroslavas          Pocius              4.14                6                   
Miroslavas          Petrauskas          2.88                6.5                 
Miroslavas          Butkus              3.94                6                   
Miroslavas          Kavaliauskas        4.84                6.5                 
Miroslavas          Kateiva             3.68                7                   
Miroslavas          Petrauskas          5.62                4.5                 
Miroslavas          zukauskas           3.8                 4                   
Miroslavas          Butkus              3.16                6                   
Modestas            Petrauskas          4.7                 6                   
Modestas            Paulauskas          5.02                4.5                 
Modestas            Baranauskas         4.7                 5                   
Modestas            Butkus              6                   4                   
Modestas            Butkus              3.82                5                   
Modestas            Urbonas             4.34                5                   
Morkus              Urbonas             4.44                4.5                 
Morkus              Urbonas             2.9                 7                   
Morkus              Kavaliauskas        5.28                4                   
Morkus              Kazlaukas           3.74                6.5                 
Morkus              Baranauskas         7.28                4.5                 
Morkus              Sakalauskas         5.7                 4.5                 
Morkus              Sakalauskas         3.96                5.5                 
Morkus              Pocius              4.18                6                   
Motiejus            Sakalauskas         5.5                 4.5                 
Motiejus            Kazlaukas           4.16                6                   
Motiejus            Kavaliauskas        4.96                5                   
Motiejus            Petrauskas          3.1                 4                   
Motiejus            Stankevicius        4.96                4.5                 
Motiejus            Pocius              3.2                 5                   
Moze                zukauskas           5.8                 4.5                 
Moze                Urbonas             4.18                6.5                 
Moze                Pocius              6.66                4.5                 
Moze                Baranauskas         5.96                4.5                 
Moze                Petrauskas          6.28                4                   
Moze                Kazlaukas           8.04                4                   
Moze                Kazlaukas           4.74                6                   
Mykolas             Vasiliauskas        4.22                5.5                 
Mykolas             Butkus              5.42                4.5                 
Mykolas             Paulauskas          3.38                4                   
Mykolas             Sakalauskas         2.58                5                   
Mykolas             Pocius              3.5                 5                   
Mykolas             Sakalauskas         4.9                 6.5                 
Naglis              Kateiva             3.1                 7                   
Naglis              Baranauskas         3.98                5.5                 
Naglis              Kateiva             3.08                7                   
Naglis              Sakalauskas         3.58                6                   
Naglis              Kavaliauskas        4.82                6                   
Naglis              Urbonas             3.46                5                   
Naglis              Kateiva             5.64                4.5                 
Naglis              Baranauskas         2.82                6                   
Napalis             Urbonas             4.36                4                   
Napalis             Petrauskas          6.78                4.5                 
Napalis             Kateiva             3.32                4.5                 
Napalis             Vasiliauskas        4.56                6                   
Napalys             Kateiva             4.78                5.5                 
Napalys             Pocius              3.94                6                   
Napalys             Butkus              4.94                6.5                 
Napalys             Vasiliauskas        3.16                4.5                 
Napalys             zukauskas           5.38                4                   
Napalys             Kavaliauskas        4.58                6                   
Napalys             Vasiliauskas        7.4                 4                   
Napoleonas          Kateiva             7.38                4                   
Napoleonas          Baranauskas         5.96                3.5                 
Napoleonas          Stankevicius        3.74                5                   
Napoleonas          Baranauskas         7.78                4.5                 
Napoleonas          Pocius              4.94                4                   
Napoleonas          zukauskas           7.94                4                   
Napolis             Kateiva             4.68                6                   
Napolis             Kateiva             2.78                5.5                 
Napolis             Butkus              3.3                 5.5                 
Napolis             Paulauskas          6.04                4                   
Napolis             Vasiliauskas        5.92                3.5                 
Napolis             Sakalauskas         4                   5.5                 
Narcizas            Kateiva             3.38                4                   
Narcizas            Sakalauskas         2.78                5                   
Narcizas            Kavaliauskas        6.12                4.5                 
Narcizas            Kateiva             4.54                6                   
Narcizas            zukauskas           3.6                 4                   
Narimantas          Stankevicius        7.98                4.5                 
Narimantas          zukauskas           4.04                6                   
Narsutis            Jankauskas          2.26                3.5                 
Narsutis            zukauskas           2.96                5.5                 
Narsutis            Paulauskas          4.36                3.5                 
Narsutis            Urbonas             4.42                5                   
Narsutis            Sakalauskas         4.64                6                   
Narsutis            Sakalauskas         4.04                6.5                 
Narsutis            Paulauskas          4.34                7                   
Narvydas            Butkus              2.42                4                   
Narvydas            Urbonas             7.26                3.5                 
Narvydas            Baranauskas         2.76                5                   
Narvydas            Stankevicius        3.1                 7                   
Natanas             zukauskas           3.98                5.5                 
Natanas             Petrauskas          7.34                4                   
Natanas             Stankevicius        3.38                5                   
Natas               Baranauskas         3.44                5                   
Natas               Baranauskas         3.02                6                   
Natas               Kazlaukas           3.7                 4                   
Natas               Jankauskas          7.72                4                   
Naumas              Butkus              4.86                7                   
Naumas              Vasiliauskas        3.42                5                   
Naumas              Jankauskas          3.48                3.5                 
Naumas              Paulauskas          6.7                 4                   
Naumas              Pocius              3.84                4.5                 
Naumas              Petrauskas          6.04                4                   
Naumas              zukauskas           3.8                 4.5                 
Naumas              Vasiliauskas        3.62                4                   
Nauris              Baranauskas         4.98                4.5                 
Nauris              Pocius              3.7                 4                   
Nauris              Paulauskas          4.04                5.5                 
Nauris              Pocius              3                   6                   
Nauris              Stankevicius        2.96                6                   
Nauris              Jankauskas          4.9                 6.5                 
Nauris              Kateiva             3.22                4                   
Nauris              Paulauskas          4.5                 5                   
Nauris              Jankauskas          3.56                6                   
Nazaras             Paulauskas          3.78                5                   
Nazaras             Sakalauskas         6.26                4.5                 
Nazaras             Vasiliauskas        3.18                4.5                 
Nazaras             Butkus              7.88                4                   
Nazaras             Urbonas             5.04                4                   
Nazaras             Vasiliauskas        4.48                5                   
Nazaras             Kavaliauskas        5.82                4                   
Nazaras             Stankevicius        6.66                4                   
Nazaras             Kavaliauskas        4.6                 7.5                 
Nazaras             Kateiva             3.18                5                   
Nazaras             Jankauskas          6.56                4                   
Nazaras             Kazlaukas           5.14                3                   
Nazarijus           Kavaliauskas        3.8                 4.5                 
Nazarijus           Urbonas             7.82                3.5                 
Nazarijus           Kateiva             6.16                4.5                 
Nazarijus           Pocius              4.2                 5.5                 
Nedas               Sakalauskas         7.36                4                   
Nedas               Jankauskas          3.56                5                   
Nedas               Butkus              2.56                4.5                 
Nedas               Jankauskas          3.86                5                   
Nedas               Jankauskas          3.8                 5                   
Nedas               Stankevicius        2.88                6                   
Neimantas           Stankevicius        2.3                 3.5                 
Neimantas           zukauskas           7.64                4                   
Neimantas           zukauskas           4.98                5                   
Neimantas           Baranauskas         4.6                 5.5                 
Neimantas           Kavaliauskas        4.82                6                   
Neimantas           Vasiliauskas        4.4                 5.5                 
Neimantas           Kavaliauskas        3.5                 3.5                 
Neimantas           Baranauskas         2.22                3.5                 
Neimantas           Sakalauskas         3.94                5                   
Neimantas           Sakalauskas         2.98                3.5                 
Neimantas           Urbonas             4.68                6.5                 
Neimantas           Vasiliauskas        3.52                6                   
Neivydas            Sakalauskas         3.02                3                   
Neivydas            Sakalauskas         3.72                6.5                 
Neivydas            Sakalauskas         2.7                 5                   
Neivydas            Butkus              6.68                4.5                 
Neivydas            Pocius              3.86                5.5                 
Nemunas             Kateiva             5.56                4.5                 
Nemunas             Sakalauskas         3.64                6.5                 
Nemunas             Butkus              4.38                8.5                 
Nemunas             Kavaliauskas        4.78                6.5                 
Nemunas             Paulauskas          3.58                6                   
Nemunas             Sakalauskas         4.48                3.5                 
Nemunas             Stankevicius        6.64                4.5                 
Nemunas             Pocius              4.36                5                   
Nerijus             Urbonas             3.64                4                   
Nerijus             Stankevicius        2.78                6                   
Nerijus             Butkus              7.18                4                   
Nerijus             Kateiva             4.18                6                   
Nerijus             Vasiliauskas        4.96                6                   
Nerijus             Petrauskas          6.86                4.5                 
Nerijus             zukauskas           5.02                4.5                 
Nerijus             Kateiva             3.56                6.5                 
Nerijus             Kazlaukas           4.06                6                   
Nerijus             Kateiva             8.08                4                   
Nerimantas          Kateiva             5.84                4.5                 
Nerimantas          Baranauskas         5.14                4.5                 
Nerimantas          Petrauskas          3.68                4.5                 
Nerimantas          Jankauskas          2.7                 4                   
Nerimas             Pocius              6.22                4                   
Nerimas             Kazlaukas           4.44                4.5                 
Nerimas             Kateiva             2.64                5.5                 
Nerimas             Stankevicius        3.14                4                   
Nerimas             Kazlaukas           3.24                4                   
Nerimas             Kazlaukas           5.32                4                   
Neringas            Kateiva             3.94                4.5                 
Neringas            Kateiva             4.28                6.5                 
Neringas            Kateiva             4                   5                   
Neringas            Pocius              6.18                4.5                 
Nerius              Stankevicius        2.96                6                   
Nerius              Sakalauskas         3.02                5.5                 
Nerius              Kazlaukas           2.9                 6                   
Nerius              Kateiva             7.14                4                   
Nerius              zukauskas           4.5                 5.5                 
Nerius              Sakalauskas         2.16                3                   
Nerius              Pocius              4.04                6                   
Nerius              Kavaliauskas        5.28                3                   
Nerius              Baranauskas         2.9                 4                   
Nidas               Baranauskas         4.66                8                   
Nidas               Vasiliauskas        4.02                6                   
Nidas               Kateiva             3.9                 4.5                 
Nidas               Stankevicius        4.88                4                   
Nidas               Urbonas             3.44                7                   
Nidas               Butkus              4.66                6                   
Nidas               Baranauskas         4.34                5                   
Nidas               zukauskas           3.74                4                   
Nidas               Kavaliauskas        3.28                6                   
Nikandras           Vasiliauskas        2.78                5                   
Nikandras           Paulauskas          7.76                3                   
Nikandras           Stankevicius        2.38                4                   
Nikandras           Vasiliauskas        4.62                6                   
Nikandras           Kavaliauskas        3.38                6                   
Nikas               Kavaliauskas        4.52                5                   
Nikas               Kateiva             4.2                 5.5                 
Nikas               Kazlaukas           2.92                5                   
Nikas               Petrauskas          4.6                 5                   
Nikas               Pocius              7.12                3.5                 
Nikas               Kavaliauskas        5.52                4.5                 
Nikiforas           Baranauskas         4.74                6                   
Nikiforas           Vasiliauskas        4.8                 4                   
Nikiforas           Kateiva             4.02                5.5                 
Nikiforas           Petrauskas          2.94                6                   
Nikiforas           Pocius              4.36                6.5                 
Nikiforas           Baranauskas         4.34                6                   
Nikita              Kateiva             3.7                 6.5                 
Nikita              Vasiliauskas        6.56                4.5                 
Nikita              Pocius              3.34                5                   
Nikodemas           Kavaliauskas        2.6                 5                   
Nikodemas           Stankevicius        4.12                4                   
Nikodemas           Kazlaukas           3.12                5                   
Nikodemas           Paulauskas          5.88                4                   
Nikodemas           Urbonas             4.42                4.5                 
Nikodemas           Stankevicius        4.88                4.5                 
Nikodemas           Pocius              3.64                6.5                 
Nikodemas           Petrauskas          4                   7                   
Nikodemas           Baranauskas         6.7                 4                   
Nikodemas           zukauskas           4.48                4.5                 
Nikola              Jankauskas          4.46                5                   
Nikola              Kavaliauskas        7.24                3                   
Nikola              Jankauskas          4.2                 6                   
Nikola              Vasiliauskas        6.7                 4                   
Nikola              zukauskas           3.34                6                   
Nikolajus           Sakalauskas         3.84                4                   
Nikolajus           Paulauskas          2.92                5.5                 
Nikolajus           Kazlaukas           4.72                6                   
Nilas               Petrauskas          4.14                6                   
Nilas               Urbonas             4.62                3.5                 
Nilas               Butkus              5.36                4                   
Nilas               Petrauskas          2.82                5                   
Nilas               Baranauskas         3.62                7                   
Nilas               Butkus              6.16                4.5                 
Nilas               Vasiliauskas        4.58                5.5                 
Nilas               Baranauskas         3.02                6.5                 
Nilas               Pocius              2.94                6                   
Nojus               Sakalauskas         6.96                4                   
Nojus               Baranauskas         8.08                4.5                 
Nojus               Kazlaukas           6.52                3.5                 
Nojus               Sakalauskas         4.26                6.5                 
Nomedas             Jankauskas          7.38                4.5                 
Nomedas             Vasiliauskas        2.98                6                   
Norbertas           Butkus              5.02                4.5                 
Norbertas           Jankauskas          3.66                7                   
Norbertas           Sakalauskas         3.44                5.5                 
Norbertas           Vasiliauskas        3.36                6                   
Norbertas           Paulauskas          3.92                5                   
Norbertas           Baranauskas         4.62                5                   
Norbertas           Kazlaukas           4.34                7                   
Normanas            Kateiva             6.1                 4                   
Normanas            Petrauskas          7.02                3.5                 
Normanas            Kavaliauskas        4.26                3                   
Normanas            Kateiva             3.48                5                   
Normanas            Petrauskas          6.46                4                   
Normanas            Baranauskas         4.8                 4                   
Normantas           zukauskas           6.24                4.5                 
Normantas           Stankevicius        3.62                4                   
Normantas           Pocius              3.76                4                   
Nortautas           Kavaliauskas        3.72                4                   
Nortautas           Pocius              3.26                5                   
Nortautas           Butkus              6.16                4.5                 
Nortautas           Petrauskas          2.7                 6                   
Nortautas           Kazlaukas           4.02                6.5                 
Nortautas           Jankauskas          2.74                5                   
Nortautas           Kazlaukas           2.98                4.5                 
Nortautas           Vasiliauskas        3.8                 5                   
Nortautas           Paulauskas          2.94                6                   
Nortautas           Butkus              5.16                4                   
Nortautas           Kateiva             6.12                4.5                 
Norvilas            Butkus              3.82                8                   
Norvilas            Kavaliauskas        4.18                4                   
Norvilas            Jankauskas          3.38                6                   
Norvilas            Stankevicius        5.48                4                   
Norvilas            Kateiva             2.64                4.5                 
Norvydas            zukauskas           3.98                5.5                 
Norvydas            Baranauskas         3.5                 6                   
Norvydas            Jankauskas          7.26                3                   
Norvydas            Kazlaukas           4.4                 5                   
Norvydas            Kateiva             3.08                7                   
Norvydas            Paulauskas          5.64                4.5                 
Norvydas            Jankauskas          4.24                6                   
Norvydas            Stankevicius        7.74                4                   
Oktavijus           Pocius              3.78                5                   
Oktavijus           Kazlaukas           4.02                5                   
Oktavijus           Kavaliauskas        4.96                5                   
Oktavijus           Sakalauskas         4.74                6                   
Oktavijus           Jankauskas          3.8                 5                   
Oktavijus           Sakalauskas         3.2                 4.5                 
Oktavijus           Butkus              3.82                4.5                 
Oktavijus           Baranauskas         4.3                 7                   
Olegas              Jankauskas          4.84                4.5                 
Olegas              zukauskas           3.78                4                   
Olegas              Vasiliauskas        2.9                 3.5                 
Olegas              Pocius              4.8                 7                   
Olegas              Jankauskas          3.9                 5                   
Olegas              Jankauskas          6.84                4.5                 
Olegas              Paulauskas          3.32                6                   
Olegas              Sakalauskas         5.86                3.5                 
Orestas             Vasiliauskas        5.14                4                   
Orestas             Vasiliauskas        4.32                5                   
Orestas             Kateiva             3.64                4.5                 
Orestas             zukauskas           4.52                5.5                 
Orestas             Kazlaukas           2.78                5.5                 
Orintas             Butkus              3.74                2                   
Orintas             Butkus              2.92                6.5                 
Orintas             Vasiliauskas        5.56                4                   
Orintas             Butkus              5.58                4                   
Orintas             Baranauskas         3.82                5.5                 
Orintas             Pocius              4.14                3.5                 
Orintas             Jankauskas          3.22                4                   
Orintas             Sakalauskas         5.56                4                   
Oskaras             Paulauskas          3.96                5                   
Oskaras             Kateiva             7.14                2.5                 
Oskaras             Vasiliauskas        3.5                 6                   
Oskaras             Kateiva             7.34                4                   
Oskaras             Sakalauskas         7.46                4.5                 
Oskaras             Pocius              6.66                4.5                 
Osmundas            Urbonas             3.58                6                   
Osmundas            Baranauskas         7.72                4.5                 
Osmundas            Stankevicius        4.32                7                   
Osmundas            Kavaliauskas        5.64                4                   
Osmundas            Paulauskas          4.82                7                   
Osmundas            Butkus              6.72                4.5                 
Osmundas            Kavaliauskas        3.38                5                   
Osmundas            Kazlaukas           7.88                4                   
Osmundas            Petrauskas          2.8                 5                   
Osvaldas            Kazlaukas           3.82                5.5                 
Osvaldas            Kazlaukas           2.64                5                   
Osvaldas            Jankauskas          2.48                3                   
Osvaldas            Stankevicius        4.5                 5.5                 
Osvaldas            Jankauskas          3.2                 6.5                 
Osvaldas            Petrauskas          4.54                5                   
Osvaldas            Kateiva             5.38                3.5                 
Osvaldas            Pocius              6.46                4.5                 
Osvaldas            Pocius              4.74                6                   
Otas                Urbonas             4.68                6                   
Otas                Vasiliauskas        3.2                 7                   
Otas                Vasiliauskas        3.66                4                   
Otas                Sakalauskas         6.28                4.5                 
Otilijus            Urbonas             6.18                4                   
Otilijus            Sakalauskas         2.62                5.5                 
Otilijus            Kazlaukas           3.62                4.5                 
Otilijus            Baranauskas         5.08                4.5                 
Otilijus            Stankevicius        4.92                6.5                 
Otilijus            Kavaliauskas        3.32                5                   
Otonas              Jankauskas          3.54                5.5                 
Otonas              Kazlaukas           6.58                4.5                 
Otonas              Urbonas             6.64                4                   
Otonas              Kavaliauskas        2.86                6                   
Otonas              Kateiva             2.98                6                   
Ovidijus            Jankauskas          3.66                6                   
Ovidijus            Pocius              3.02                4.5                 
Ovidijus            Petrauskas          5.44                4                   
Ovidijus            Pocius              7.3                 3.5                 
Ovidijus            Jankauskas          4.42                5                   
Ovidijus            Stankevicius        7.18                3                   
Ovidijus            Vasiliauskas        2.76                2.5                 
Palemonas           Vasiliauskas        4.14                6                   
Palemonas           Kavaliauskas        4.6                 5.5                 
Palemonas           Petrauskas          4.5                 4                   
Palemonas           Urbonas             6.22                4                   
Palemonas           zukauskas           4.4                 4                   
Palemonas           Urbonas             3.58                6                   
Palemonas           Butkus              4.6                 5                   
Patricijus          Kazlaukas           3.6                 3.5                 
Patricijus          Paulauskas          4.28                3                   
Patricijus          Butkus              7.22                3.5                 
Patricijus          zukauskas           5.28                3.5                 
Patricijus          Petrauskas          4.16                6.5                 
Patricijus          Pocius              2.94                3.5                 
Patricijus          Urbonas             3.48                5.5                 
Patrikas            Pocius              5.92                3.5                 
Patrikas            Butkus              5.26                3.5                 
Patrikas            Kateiva             3.72                4.5                 
Patrikas            Kateiva             3.64                4                   
Patrikas            Stankevicius        7.46                4.5                 
Patrikas            Petrauskas          3.58                4.5                 
Patrikas            Kazlaukas           4.38                5.5                 
Patrikas            Vasiliauskas        3.78                5                   
Paulis              Paulauskas          4.72                3.5                 
Paulis              Stankevicius        3.3                 5                   
Paulis              Petrauskas          4.72                6                   
Paulis              Sakalauskas         3.48                5                   
Paulis              zukauskas           8.1                 4.5                 
Paulis              Baranauskas         2.58                4.5                 
Paulis              Kateiva             4.2                 4                   
Paulis              Stankevicius        4.08                5                   
Paulis              Vasiliauskas        4.76                7.5                 
Paulis              Baranauskas         3.62                6                   
Paulis              Vasiliauskas        2.56                5                   
Paulius             Petrauskas          4.54                5.5                 
Paulius             Kateiva             3.14                7                   
Paulius             Paulauskas          4.16                3.5                 
Paulius             Kateiva             4.02                6                   
Paulius             Paulauskas          6.32                4.5                 
Paulius             Petrauskas          3.8                 4                   
Petras              Sakalauskas         6.34                4                   
Petras              Vasiliauskas        2.68                4.5                 
Petras              Stankevicius        5                   4                   
Petras              Stankevicius        2.92                6.5                 
Pijus               Paulauskas          3.76                5                   
Pijus               Jankauskas          4.74                4                   
Pijus               zukauskas           3.08                4.5                 
Pijus               Butkus              3.68                5                   
Pijus               Jankauskas          3.26                5                   
Pijus               Sakalauskas         6.74                4.5                 
Pijus               Pocius              2.58                5                   
Pijus               Petrauskas          2.96                6.5                 
Pilenas             Stankevicius        3.54                6.5                 
Pilenas             zukauskas           4.46                5                   
Pilenas             Stankevicius        2.86                6.5                 
Pilenas             Kazlaukas           3.98                6                   
Pilenas             Urbonas             4.86                6                   
Pilenas             Pocius              4.5                 7                   
Pilenas             Stankevicius        4.92                5                   
Pilenas             Kateiva             3.76                6.5                 
Pilenas             Stankevicius        6.24                4.5                 
Pilypas             Baranauskas         2.54                4                   
Pilypas             zukauskas           8.1                 4.5                 
Pilypas             Jankauskas          4.38                4.5                 
Pilypas             Butkus              3.8                 5                   
Pilypas             Baranauskas         2.64                5                   
Pilypas             Vasiliauskas        3.2                 5.5                 
Pilypas             Pocius              6.32                3                   
Piotras             Vasiliauskas        5.14                3                   
Piotras             Stankevicius        5.38                4                   
Piotras             zukauskas           6.54                4                   
Piotras             Petrauskas          4.6                 5                   
Piotras             Kateiva             4.76                4                   
Platonas            Urbonas             5.16                3.5                 
Platonas            Urbonas             4.4                 5                   
Platonas            Butkus              2.52                5                   
Polikarpas          Kavaliauskas        6.46                3.5                 
Polikarpas          Sakalauskas         3.22                5                   
Polikarpas          Baranauskas         2.66                4                   
Polikarpas          Paulauskas          4.24                6                   
Polis               Paulauskas          4.32                7                   
Polis               Stankevicius        4.02                5                   
Polis               Urbonas             2.94                7                   
Polis               Sakalauskas         2.6                 5                   
Polis               Urbonas             3.46                5                   
Polis               Vasiliauskas        3.78                5                   
Polis               Jankauskas          4.2                 6                   
Polis               Paulauskas          3.56                5.5                 
Polis               zukauskas           4.32                6.5                 
Polis               zukauskas           3.98                4.5                 
Povilas             Urbonas             5.06                4.5                 
Povilas             Jankauskas          3.52                4                   
Povilas             Vasiliauskas        7.8                 4                   
Povilas             Sakalauskas         3.9                 6                   
Povilas             Butkus              4.18                5                   
Pranas              Kateiva             8.1                 4.5                 
Pranas              Pocius              3.96                6                   
Pranas              zukauskas           4.6                 4.5                 
Pranas              Kazlaukas           3.14                4.5                 
Pranas              Petrauskas          4.36                4                   
Pranas              Baranauskas         4.12                6                   
Pranciskus          Kavaliauskas        5.96                4                   
Pranciskus          Urbonas             3.62                6.5                 
Pranciskus          Kazlaukas           4.14                6                   
Pranciskus          Paulauskas          2.54                5.5                 
Pranciskus          Kavaliauskas        4.62                5                   
Pranciskus          Urbonas             4.28                7                   
Pranciskus          Kazlaukas           5.14                4.5                 
Putinas             Jankauskas          4.92                7.5                 
Putinas             Baranauskas         3.62                6                   
Putinas             Butkus              2.82                5                   
Putinas             zukauskas           2.94                6                   
Putinas             Jankauskas          2.62                4                   
Radvila             Pocius              3.88                4                   
Radvila             Butkus              2.56                4                   
Radvila             Stankevicius        4.94                4.5                 
Radvila             Pocius              3.52                6                   
Radvila             Paulauskas          6.78                3.5                 
Rafaelis            Sakalauskas         7.24                4                   
Rafaelis            Kazlaukas           3.9                 5                   
Rafaelis            Butkus              6.82                4                   
Rafaelis            Kavaliauskas        6.78                3                   
Rafaelis            Baranauskas         2.98                6                   
Rafaelis            Petrauskas          3.04                6                   
Rafaelis            Kateiva             4.58                5.5                 
Rafailas            Butkus              4.7                 6.5                 
Rafailas            Vasiliauskas        4.7                 4                   
Rafailas            Petrauskas          6.86                4.5                 
Rafailas            Kateiva             8.06                4.5                 
Rafailas            Kateiva             2.66                5                   
Rafailas            Stankevicius        3.8                 7                   
Rafailas            zukauskas           4.3                 5                   
Rafalas             Butkus              5.98                4.5                 
Rafalas             Petrauskas          7.98                4                   
Rafalas             Petrauskas          4.48                5                   
Rafalas             Paulauskas          4.2                 5.5                 
Rafalas             Jankauskas          3.26                5                   
Rafalas             Kateiva             4.34                7.5                 
Rafalas             Paulauskas          4.24                4.5                 
Raigardas           Kazlaukas           5.56                4.5                 
Raigardas           Paulauskas          4.36                5                   
Raigardas           Petrauskas          4.02                6                   
Raigardas           Baranauskas         5.62                4                   
Raigardas           zukauskas           3.26                6                   
Raigardas           Kazlaukas           5.24                3.5                 
Raimondas           Urbonas             3.64                5                   
Raimondas           zukauskas           4.32                3.5                 
Raimondas           Jankauskas          7.16                3.5                 
Raimondas           Urbonas             3.54                5                   
Raimondas           Paulauskas          4.88                4.5                 
Raimondas           Pocius              7.82                4                   
Raimondas           Butkus              4.34                6                   
Raimondas           Petrauskas          4.12                4                   
Raimondas           Sakalauskas         4.9                 5                   
Raimondas           Urbonas             5.94                4                   
Raimondas           Jankauskas          2.8                 6                   
Raimundas           Pocius              4.68                6.5                 
Raimundas           Kateiva             4.28                6.5                 
Raimundas           Kazlaukas           4.22                6                   
Raimundas           Kateiva             4.88                7                   
Raimundas           Kavaliauskas        2.98                6.5                 
Rainoldas           Kavaliauskas        4.52                5                   
Ralfas              Paulauskas          3.54                6                   
Ralfas              Butkus              3.86                5                   
Ralfas              Sakalauskas         3.78                3.5                 
Ralfas              Stankevicius        3.94                5.5                 
Ralfas              Butkus              4.24                4                   
Ralfas              zukauskas           7.32                4                   
Ralfas              Pocius              3.88                5                   
Ralfas              Vasiliauskas        6.44                4                   
Ralfas              zukauskas           3.9                 5.5                 
Ralfas              Kateiva             3.6                 6.5                 
Ralfas              zukauskas           2.54                4.5                 
Ramintas            Jankauskas          5.6                 4.5                 
Ramintas            Paulauskas          3.28                4.5                 
Ramintas            Urbonas             7.44                4.5                 
Ramintas            Urbonas             3.14                4.5                 
Ramintas            Stankevicius        4.92                8                   
Ramonas             Vasiliauskas        6.16                4                   
Ramonas             Vasiliauskas        2.88                5                   
Ramonas             Urbonas             4.9                 6                   
Ramonas             Baranauskas         2.82                6                   
Ramonas             Baranauskas         5.54                4.5                 
Ramonas             Vasiliauskas        4.24                3.5                 
Ramonas             Stankevicius        5.94                3.5                 
